Scenario Name,Date,Real GDP growth,Nominal GDP growth,Real disposable income growth,Nominal disposable income growth,Unemployment rate,CPI inflation rate,3-month Treasury rate,5-year Treasury yield,10-year Treasury yield,BBB corporate yield,Mortgage rate,Prime rate,Dow Jones Total Stock Market Index (Level),House Price Index (Level),Commercial Real Estate Price Index (Level),Market Volatility Index (Level)
Supervisory Adverse,2018 Q1,-1.3,1.2,2.4,4.2,4.5,1.7,0.6,0.0,0.7,3.8,3.2,3.8,24589.0,190.9,272.4,28.0
Supervisory Adverse,2018 Q2,-3.5,-1.4,-1.2,0.2,5.3,1.3,0.1,0.1,0.8,4.2,3.4,3.3,22884.3,185.1,261.9,33.1
Supervisory Adverse,2018 Q3,-2.4,-0.4,-1.8,-0.2,5.8,1.6,0.1,0.2,0.9,4.4,3.6,3.3,21104.3,180.4,253.6,33.7
Supervisory Adverse,2018 Q4,-1.3,0.6,-1.1,0.6,6.3,1.7,0.1,0.3,1.0,4.6,3.7,3.3,20857.6,176.9,247.3,32.8
Supervisory Adverse,2019 Q1,-0.7,1.3,-0.3,1.5,6.6,1.8,0.1,0.4,1.1,4.8,3.9,3.2,19718.4,174.0,242.1,31.7
Supervisory Adverse,2019 Q2,0.4,2.3,-0.1,1.6,6.9,1.9,0.1,0.5,1.2,4.8,3.9,3.2,19997.9,172.3,238.9,28.8
Supervisory Adverse,2019 Q3,1.0,2.9,0.5,2.2,7.0,1.9,0.1,0.6,1.3,4.7,3.9,3.2,20579.7,171.1,236.9,25.7
Supervisory Adverse,2019 Q4,2.5,4.3,1.0,2.9,7.0,2.1,0.1,0.6,1.4,4.6,3.9,3.2,21349.8,171.1,236.9,23.1
Supervisory Adverse,2020 Q1,2.8,4.5,2.3,4.2,6.9,2.1,0.1,0.7,1.6,4.6,4.0,3.2,22145.1,171.1,236.9,21.3
Supervisory Adverse,2020 Q2,3.0,4.7,2.4,4.2,6.8,2.0,0.1,0.7,1.7,4.4,4.0,3.2,23212.5,171.6,237.7,20.1
Supervisory Adverse,2020 Q3,3.2,4.8,2.6,4.4,6.6,2.0,0.1,0.8,1.8,4.3,4.0,3.2,24259.3,172.2,238.8,19.3
Supervisory Adverse,2020 Q4,3.3,4.9,2.8,4.5,6.5,2.0,0.1,0.9,1.8,4.2,3.9,3.2,25405.5,172.9,240.2,18.7
Supervisory Adverse,2021 Q1,3.3,4.8,2.9,4.6,6.3,1.9,0.1,0.9,1.9,4.0,3.9,3.2,26624.8,173.9,241.8,18.3
