Scenario Name,Real GDP growth,Nominal GDP growth,Real disposable income growth,Nominal disposable income growth,Unemployment rate,CPI inflation rate,3-month Treasury rate,5-year Treasury yield,10-year Treasury yield,BBB corporate yield,Mortgage rate,Prime rate,Dow Jones Total Stock Market Index (Level),House Price Index (Level),Commercial Real Estate Price Index (Level),Market Volatility Index (Level),quarter,tickers,avg_price,avg_volume
Actual,9.3,14,4.8,9.5,7.7,4.7,4.9,7.4,7.6,9.4,8.9,6.8,NA,23.5,50.9,NA,1976.1,BA,0.8864066825396826,1453038.0952380951
Actual,9.3,14,4.8,9.5,7.7,4.7,4.9,7.4,7.6,9.4,8.9,6.8,NA,23.5,50.9,NA,1976.1,CVX,3.8864087301587302,926717.4603174604
Actual,9.3,14,4.8,9.5,7.7,4.7,4.9,7.4,7.6,9.4,8.9,6.8,NA,23.5,50.9,NA,1976.1,DIS,1.1981726666666666,3384349.206349206
Actual,9.3,14,4.8,9.5,7.7,4.7,4.9,7.4,7.6,9.4,8.9,6.8,NA,23.5,50.9,NA,1976.1,DWDP,11.851410841269841,651e3
Actual,9.3,14,4.8,9.5,7.7,4.7,4.9,7.4,7.6,9.4,8.9,6.8,NA,23.5,50.9,NA,1976.1,JNJ,1.8626819523809524,1942171.4285714286
Actual,9.3,14,4.8,9.5,7.7,4.7,4.9,7.4,7.6,9.4,8.9,6.8,NA,23.5,50.9,NA,1976.1,KO,0.9184441904761905,3480838.095238095
Actual,9.3,14,4.8,9.5,7.7,4.7,4.9,7.4,7.6,9.4,8.9,6.8,NA,23.5,50.9,NA,1976.1,MMM,7.484126984126984,664952.380952381
Actual,9.3,14,4.8,9.5,7.7,4.7,4.9,7.4,7.6,9.4,8.9,6.8,NA,23.5,50.9,NA,1976.1,PG,2.7820561904761907,1651758.7301587302
Actual,9.3,14,4.8,9.5,7.7,4.7,4.9,7.4,7.6,9.4,8.9,6.8,NA,23.5,50.9,NA,1976.1,WFC,0.9651539047619048,304152.38095238095
Actual,9.3,14,4.8,9.5,7.7,4.7,4.9,7.4,7.6,9.4,8.9,6.8,NA,23.5,50.9,NA,1976.1,XOM,2.8177084444444445,2937701.587301587
Actual,3.1,7.3,2.1,5.6,7.6,3.6,5.2,7.4,7.6,9.4,8.8,6.9,NA,23.6,51.8,NA,1976.2,BA,1.086289111111111,2438844.4444444445
Actual,3.1,7.3,2.1,5.6,7.6,3.6,5.2,7.4,7.6,9.4,8.8,6.9,NA,23.6,51.8,NA,1976.2,CVX,4.512896825396825,893650.7936507936
Actual,3.1,7.3,2.1,5.6,7.6,3.6,5.2,7.4,7.6,9.4,8.8,6.9,NA,23.6,51.8,NA,1976.2,DIS,1.1348642857142857,2690738.095238095
Actual,3.1,7.3,2.1,5.6,7.6,3.6,5.2,7.4,7.6,9.4,8.8,6.9,NA,23.6,51.8,NA,1976.2,DWDP,11.644620777777778,663157.1428571428
Actual,3.1,7.3,2.1,5.6,7.6,3.6,5.2,7.4,7.6,9.4,8.8,6.9,NA,23.6,51.8,NA,1976.2,JNJ,1.8028274285714285,1332495.238095238
Actual,3.1,7.3,2.1,5.6,7.6,3.6,5.2,7.4,7.6,9.4,8.8,6.9,NA,23.6,51.8,NA,1976.2,KO,0.8603463968253968,3458438.095238095
Actual,3.1,7.3,2.1,5.6,7.6,3.6,5.2,7.4,7.6,9.4,8.8,6.9,NA,23.6,51.8,NA,1976.2,MMM,7.3561507936507935,611606.3492063492
Actual,3.1,7.3,2.1,5.6,7.6,3.6,5.2,7.4,7.6,9.4,8.8,6.9,NA,23.6,51.8,NA,1976.2,PG,2.797123142857143,1065650.7936507936
Actual,3.1,7.3,2.1,5.6,7.6,3.6,5.2,7.4,7.6,9.4,8.8,6.9,NA,23.6,51.8,NA,1976.2,WFC,1.0749009206349207,309638.09523809527
Actual,3.1,7.3,2.1,5.6,7.6,3.6,5.2,7.4,7.6,9.4,8.8,6.9,NA,23.6,51.8,NA,1976.2,XOM,3.072420761904762,3300215.873015873
Actual,2,7.4,3,9.4,7.7,6.5,5.2,7.3,7.6,9.1,9,7.1,NA,24.6,52.6,NA,1976.3,BA,1.368055484375,1662950
Actual,2,7.4,3,9.4,7.7,6.5,5.2,7.3,7.6,9.1,9,7.1,NA,24.6,52.6,NA,1976.3,CVX,4.73193359375,634250
Actual,2,7.4,3,9.4,7.7,6.5,5.2,7.3,7.6,9.1,9,7.1,NA,24.6,52.6,NA,1976.3,DIS,1.042734078125,3374135.9375
Actual,2,7.4,3,9.4,7.7,6.5,5.2,7.3,7.6,9.1,9,7.1,NA,24.6,52.6,NA,1976.3,DWDP,10.202257015625,772368.75
Actual,2,7.4,3,9.4,7.7,6.5,5.2,7.3,7.6,9.1,9,7.1,NA,24.6,52.6,NA,1976.3,JNJ,1.8394369531249999,1363200
Actual,2,7.4,3,9.4,7.7,6.5,5.2,7.3,7.6,9.1,9,7.1,NA,24.6,52.6,NA,1976.3,KO,0.9000651562499999,2648400
Actual,2,7.4,3,9.4,7.7,6.5,5.2,7.3,7.6,9.1,9,7.1,NA,24.6,52.6,NA,1976.3,MMM,7.736083984375,534550
Actual,2,7.4,3,9.4,7.7,6.5,5.2,7.3,7.6,9.1,9,7.1,NA,24.6,52.6,NA,1976.3,PG,2.991455171875,967300
Actual,2,7.4,3,9.4,7.7,6.5,5.2,7.3,7.6,9.1,9,7.1,NA,24.6,52.6,NA,1976.3,WFC,1.0992431875,367875
