"Scenario Name","Date","Real GDP growth","Nominal GDP growth","Real disposable income growth","Nominal disposable income growth","Unemployment rate","CPI inflation rate","3-month Treasury rate","5-year Treasury yield","10-year Treasury yield","BBB corporate yield","Mortgage rate","Prime rate","Dow Jones Total Stock Market Index (Level)","House Price Index (Level)","Commercial Real Estate Price Index (Level)","Market Volatility Index (Level)"
"Actual",1976-03-31,9.3,14,4.8,9.5,7.7,4.7,4.9,7.4,7.6,9.4,8.9,6.8,NA,23.5,50.9,NA
"Actual",1976-06-30,3.1,7.3,2.1,5.6,7.6,3.6,5.2,7.4,7.6,9.4,8.8,6.9,NA,23.6,51.8,NA
"Actual",1976-09-30,2,7.4,3,9.4,7.7,6.5,5.2,7.3,7.6,9.1,9,7.1,NA,24.6,52.6,NA
"Actual",1976-12-31,3,10.5,2.4,9,7.8,5.9,4.7,6.5,7.1,8.8,8.8,6.5,NA,25.5,53.4,NA
"Actual",1977-03-31,4.7,11.6,-0.1,7.3,7.5,7.5,4.6,6.8,7.2,8.8,8.7,6.3,NA,26.6,55,NA
"Actual",1977-06-30,8.1,14.3,5.1,12.5,7.1,7.2,4.8,6.8,7.3,8.7,8.8,6.5,NA,27.7,56,NA
"Actual",1977-09-30,7.3,12.6,6.3,12.8,6.9,5.6,5.5,7,7.3,8.6,8.9,6.9,NA,28.7,57.3,NA
"Actual",1977-12-31,0,9,7.9,14.3,6.7,6,6.1,7.4,7.6,8.9,8.9,7.7,NA,29.7,58.5,NA
"Actual",1978-03-31,1.4,7.6,2.9,9.9,6.3,7.1,6.4,7.8,8,9,9.1,8,NA,30.8,59.7,NA
"Actual",1978-06-30,16.5,25.2,4,12.9,6,9.4,6.5,8.2,8.2,9.5,9.6,8.3,NA,31.9,61.4,NA
"Actual",1978-09-30,4,11.1,2.9,10.4,6,9.6,7.3,8.4,8.4,9.3,9.8,9.1,NA,33.1,62.9,NA
"Actual",1978-12-31,5.5,14.6,3.2,11.2,5.9,9.6,8.6,8.9,8.7,10.1,10.1,10.8,NA,34.2,64.6,NA
"Actual",1979-03-31,0.8,8.2,4.3,12.4,5.9,10.5,9.4,9.2,9,10.3,10.4,11.8,NA,35.6,66.5,NA
"Actual",1979-06-30,0.5,10.6,-3.4,7.6,5.7,13.3,9.4,9.1,9,10.3,10.8,11.7,NA,37.2,68.5,NA
"Actual",1979-09-30,2.9,12,1.9,12.4,5.9,13.5,9.7,9.1,9,10.3,11.2,12.1,NA,38.6,70.6,NA
"Actual",1979-12-31,1,9.3,1.8,12,6,13.3,11.8,10.6,10.4,12.6,12.5,15.1,NA,39.9,72.1,NA
"Actual",1980-03-31,1.3,10,1.4,14.1,6.3,16.7,13.3,12,11.8,14.8,13.7,16.4,NA,40.8,73.4,NA
"Actual",1980-06-30,-7.9,0.5,-5.7,3.9,7.3,14.2,9.6,10.1,10.4,12.6,14.4,16.3,NA,41.5,74.9,NA
"Actual",1980-09-30,-0.6,8.9,5,15.1,7.7,7.7,9.1,10.6,10.8,13.3,12.6,11.6,NA,42.6,76.4,NA
"Actual",1980-12-31,7.6,20,8.1,19.2,7.4,11.7,13.6,12.5,12.3,14.3,14.2,16.7,NA,43.5,78.8,NA
"Actual",1981-03-31,8.5,19.8,-1.5,9.1,7.4,11.5,14.4,12.9,12.8,14.8,15.1,19.2,NA,44.3,82.3,NA
"Actual",1981-06-30,-2.9,4.6,-0.1,6.7,7.4,8.6,14.9,13.8,13.6,16.1,16.2,18.9,NA,44.9,85.1,NA
"Actual",1981-09-30,4.7,12.4,8.4,15.7,7.4,11.6,15.1,15,14.6,17.6,17.4,20.3,NA,45.3,87.6,NA
"Actual",1981-12-31,-4.6,2.8,0.8,7.1,8.2,6.7,11.8,13.9,13.9,16.8,17.8,17,NA,45.8,90.6,NA
